Year,Almagre Mountain B index,Mesa Verde Douglas Fir index
1525,1061.0,624.0
1526,1009.0,994.0
1527,1115.0,1094.0
1528,997.0,624.0
1529,1254.0,789.0
1530,1251.0,992.0
1531,1109.0,802.0
1532,1045.0,69.0
1533,1215.0,877.0
1534,959.0,771.0
1535,1050.0,777.0
1536,1083.0,1044.0
1537,1033.0,969.0
1538,908.0,475.0
1539,1149.0,848.0
1540,964.0,1193.0
1541,945.0,893.0
1542,777.0,67.0
1543,949.0,1075.0
1544,1001.0,491.0
1545,1079.0,855.0
1546,1070.0,779.0
1547,981.0,428.0
1548,954.0,877.0
1549,773.0,723.0
1550,910.0,1441.0
1551,952.0,833.0
1552,783.0,963.0
1553,856.0,1383.0
1554,1110.0,658.0
1555,968.0,761.0
1556,962.0,1907.0
1557,927.0,1369.0
1558,794.0,953.0
1559,669.0,916.0
1560,851.0,1253.0
1561,860.0,625.0
1562,913.0,576.0
1563,907.0,1217.0
1564,1007.0,900.0
1565,1037.0,1149.0
1566,1055.0,585.0
1567,953.0,501.0
1568,1098.0,1220.0
1569,1163.0,795.0
1570,1121.0,1403.0
1571,841.0,969.0
1572,1019.0,1079.0
1573,896.0,523.0
1574,882.0,441.0
1575,946.0,813.0
1576,893.0,883.0
1577,752.0,784.0
1578,878.0,700.0
1579,730.0,357.0
1580,744.0,711.0
1581,983.0,531.0
1582,1106.0,384.0
1583,1116.0,270.0
1584,956.0,25.0
1585,848.0,25.0
1586,1070.0,1030.0
1587,908.0,256.0
1588,1186.0,975.0
1589,1087.0,638.0
1590,932.0,107.0
1591,1015.0,976.0
1592,1348.0,608.0
1593,1332.0,637.0
1594,1570.0,1351.0
1595,1428.0,968.0
1596,1098.0,784.0
1597,1109.0,951.0
1598,958.0,746.0
1599,872.0,1039.0
1600,957.0,347.0
1601,817.0,1120.0
1602,962.0,978.0
1603,903.0,783.0
1604,861.0,744.0
1605,856.0,1293.0
1606,822.0,1045.0
1607,975.0,710.0
1608,949.0,1386.0
1609,764.0,1287.0
1610,875.0,1602.0
1611,910.0,1091.0
1612,655.0,851.0
1613,873.0,1314.0
1614,905.0,1027.0
1615,921.0,1339.0
1616,862.0,1450.0
1617,1123.0,1671.0
1618,919.0,1788.0
1619,1056.0,891.0
1620,1079.0,1672.0
1621,925.0,1608.0
1622,661.0,1189.0
1623,789.0,632.0
1624,934.0,636.0
1625,701.0,702.0
1626,915.0,476.0
1627,818.0,1073.0
1628,1017.0,788.0
1629,1030.0,1233.0
1630,1005.0,1077.0
1631,917.0,1025.0
1632,1218.0,388.0
1633,991.0,1207.0
1634,1217.0,1019.0
1635,995.0,1532.0
1636,1172.0,431.0
1637,1331.0,695.0
1638,1186.0,880.0
1639,1002.0,718.0
1640,1103.0,1122.0
1641,876.0,1177.0
1642,817.0,1005.0
1643,853.0,1007.0
1644,700.0,792.0
1645,535.0,805.0
1646,726.0,1254.0
1647,810.0,1124.0
1648,852.0,484.0
1649,926.0,1030.0
1650,786.0,1141.0
1651,875.0,1260.0
1652,795.0,704.0
1653,864.0,1370.0
1654,587.0,226.0
1655,943.0,1406.0
1656,1014.0,1186.0
1657,1067.0,713.0
1658,1090.0,623.0
1659,997.0,776.0
1660,956.0,1019.0
1661,1037.0,528.0
1662,823.0,683.0
1663,1028.0,628.0
1664,808.0,499.0
1665,840.0,1271.0
1666,714.0,559.0
1667,779.0,416.0
1668,692.0,510.0
1669,632.0,562.0
1670,773.0,646.0
1671,880.0,903.0
1672,682.0,876.0
1673,833.0,1166.0
1674,889.0,1222.0
1675,751.0,1356.0
1676,839.0,571.0
1677,776.0,1034.0
1678,857.0,1496.0
1679,958.0,675.0
1680,842.0,1176.0
1681,971.0,1203.0
1682,960.0,1315.0
1683,1096.0,1360.0
1684,1062.0,733.0
1685,1046.0,148.0
1686,1130.0,945.0
1687,1097.0,904.0
1688,1160.0,1080.0
1689,1255.0,1240.0
1690,1175.0,1581.0
